IOCOrder	BLFamilyLatin	BLFamilyEng	English	gen	sp	BodyMass.Source	BodyMass.SpecLevel	BodyMass.Comment	Record.Comment	BM.g
Passeriformes	Tyrannidae	Tyrant-flycatchers	Grey-hooded_Flycatcher	Mionectes	Mionectes rufiventris	Dunning08	1	Null	Null	13.30
Passeriformes	Tyrannidae	Tyrant-flycatchers	Short-crested_Flycatcher	Myiarchus	Myiarchus ferox	Dunning08	1	Null	Null	27.50
Passeriformes	Tyrannidae	Tyrant-flycatchers	Swainsons_Flycatcher	Myiarchus	Myiarchus swainsoni	Dunning08	1	Null	Null	25.10
Passeriformes	Tyrannidae	Tyrant-flycatchers	Dusky-capped_Flycatcher	Myiarchus	Myiarchus tuberculifer	Dunning08	1	Null	Null	17.70
Passeriformes	Tyrannidae	Tyrant-flycatchers	Brown-crested_Flycatcher	Myiarchus	Myiarchus tyrannulus	Dunning08	1	Null	Null	35.45
Passeriformes	Tyrannidae	Tyrant-flycatchers	Streaked_Flycatcher	Myiodynastes	Myiodynastes maculatus	Dunning08	1	Null	Null	43.20
Passeriformes	Tyrannidae	Tyrant-flycatchers	Grey_Elaenia	Myiopagis	Myiopagis caniceps	Dunning08	1	Null	Null	10.50
Passeriformes	Tyrannidae	Tyrant-flycatchers	Greenish_Elaenia	Myiopagis	Myiopagis viridicata	Dunning08	1	Null	Null	11.51
Passeriformes	Tyrannidae	Tyrant-flycatchers	Bran-coloured_Flycatcher	Myiophobus	Myiophobus fasciatus	Dunning08	1	Null	Null	9.90
Passeriformes	Tyrannidae	Tyrant-flycatchers	Rusty-margined_Flycatcher	Myiozetetes	Myiozetetes cayanensis	Dunning08	1	Null	Null	25.90
Passeriformes	Tyrannidae	Tyrant-flycatchers	Social_Flycatcher	Myiozetetes	Myiozetetes similis	Dunning08	1	Null	Null	28.00
Passeriformes	Tyrannidae	Tyrant-flycatchers	Mouse-coloured_Tyrannulet	Phaeomyias	Phaeomyias murina	Dunning08	1	Null	Null	10.00
Passeriformes	Tyrannidae	Tyrant-flycatchers	Rough-legged_Tyrannulet	Phyllomyias	Phyllomyias burmeisteri	Dunning08	1	Null	Null	11.10
Passeriformes	Tyrannidae	Tyrant-flycatchers	Planalto_Tyrannulet	Phyllomyias	Phyllomyias fasciatus	Dunning08	1	Null	Null	10.30
Passeriformes	Tyrannidae	Tyrant-flycatchers	Grey-capped_Tyrannulet	Phyllomyias	Phyllomyias griseocapilla	PrimScale	1	MarceloR	Null	8.00
Passeriformes	Tyrannidae	Tyrant-flycatchers	Greenish_Tyrannulet	Phyllomyias	Phyllomyias virescens	Dunning08	1	Null	Null	8.20
Passeriformes	Tyrannidae	Tyrant-flycatchers	Alagoas_Tyrannulet	Phylloscartes	Phylloscartes ceciliae	Dunning08	1	Null	Null	7.60
Passeriformes	Tyrannidae	Tyrant-flycatchers	Serra_Do_Mar_Tyrannulet	Phylloscartes	Phylloscartes difficilis	Dunning08	1	Null	Null	6.90
Passeriformes	Tyrannidae	Tyrant-flycatchers	Southern_Bristle-tyrant	Phylloscartes	Phylloscartes eximius	Dunning08	1	Null	Null	7.50
Passeriformes	Tyrannidae	Tyrant-flycatchers	Restinga_Tyrannulet	Phylloscartes	Phylloscartes kronei	Dunning08	1	Null	Null	8.30
Passeriformes	Tyrannidae	Tyrant-flycatchers	Oustalets_Tyrannulet	Phylloscartes	Phylloscartes oustaleti	Dunning08	1	Null	Null	10.00
Passeriformes	Tyrannidae	Tyrant-flycatchers	Sao_Paulo_Tyrannulet	Phylloscartes	Phylloscartes paulista	Dunning08	1	Null	Null	7.48
Passeriformes	Tyrannidae	Tyrant-flycatchers	Bay-ringed_Tyrannulet	Phylloscartes	Phylloscartes sylviolus	Dunning08	1	Null	Null	8.00
Passeriformes	Tyrannidae	Tyrant-flycatchers	Mottle-cheeked_Tyrannulet	Phylloscartes	Phylloscartes ventralis	Dunning08	1	Null	Null	8.30
Passeriformes	Tyrannidae	Tyrant-flycatchers	Great_Kiskadee	Pitangus	Pitangus sulphuratus	Dunning08	1	Null	Null	62.85
Passeriformes	Tyrannidae	Tyrant-flycatchers	Greyish_Mourner	Rhytipterna	Rhytipterna simplex	Dunning08	1	Null	Null	31.80
Passeriformes	Tyrannidae	Tyrant-flycatchers	Sirystes	Sirystes	Sirystes sibilator	Dunning08	1	Null	Null	32.30
Passeriformes	Tyrannidae	Tyrant-flycatchers	Common_Tody-flycatcher	Todirostrum	Todirostrum cinereum	Dunning08	1	Null	Null	6.29
Passeriformes	Tyrannidae	Tyrant-flycatchers	Yellow-lored_Tody-flycatcher	Todirostrum	Todirostrum poliocephalum	GenAvg	0	Null	Null	6.96
Passeriformes	Tyrannidae	Tyrant-flycatchers	Yellow-olive_Flycatcher	Tolmomyias	Tolmomyias sulphurescens	Dunning08	1	Null	Null	14.30
Passeriformes	Tyrannidae	Tyrant-flycatchers	Tropical_Kingbird	Tyrannus	Tyrannus melancholicus	Dunning08	1	Null	Null	37.40
Passeriformes	Tyrannidae	Tyrant-flycatchers	Fork-tailed_Flycatcher	Tyrannus	Tyrannus savana	Dunning08	1	Null	Null	31.90
Passeriformes	Tyrannidae	Tyrant-flycatchers	Slender-footed_Tyrannulet	Zimmerius	Zimmerius gracilipes	Dunning08	1	Null	Null	7.13
Passeriformes	Vireonidae	Vireos.allies	Rufous-browed_Peppershrike	Cyclarhis	Cyclarhis gujanensis	Dunning08	1	Null	Null	28.80
Passeriformes	Vireonidae	Vireos.allies	Grey-eyed_Greenlet	Hylophilus	Hylophilus amaurocephalus	GenAvg	0	Null	Null	11.59
Passeriformes	Vireonidae	Vireos.allies	Rufous-crowned_Greenlet	Hylophilus	Hylophilus poicilotis	Dunning08	1	Null	Null	10.40
Passeriformes	Vireonidae	Vireos.allies	Red-eyed_Vireo	Vireo	Vireo chivi	Dunning08	1	Null	Null	16.06
