species;plant_family;plant;digest_data;QTY;QTY_SD;QTY_SE;energy_fruit;digest;QLY_digest;QLY_SE;TE
Ramphastos dicolorus;Urticaceae;Cecropia glaziovii;NO;0.022175;0.030865211;0.021825;5.0789972;NA;5.0789972;NA;0.112626763
Ramphastos dicolorus;Urticaceae;Cecropia glaziovii;YES;0.022175;0.030865211;0.021825;5.0789972;0.182531488;0.927076915;0.287390822;0.020557931
Ramphastos toco;Arecaceae;Euterpe edulis;NO;0.0425;0.028218535;0.009976759;5.178982;NA;5.178982;NA;0.220106735
Ramphastos toco;Arecaceae;Euterpe edulis;YES;0.0425;0.028218535;0.009976759;5.178982;0.313260515;1.622370568;0.433765602;0.068950749
Thraupis sayaca;Cannabaceae;Trema micrantha;NO;2.724666667;3.926053022;2.266707769;0.1135254;NA;0.1135254;NA;0.309318873
Thraupis sayaca;Cannabaceae;Trema micrantha;YES;2.724666667;3.926053022;2.266707769;0.1135254;0.703476483;0.079862449;0.00812554;0.217598553
Turdus leucomelas;Cannabaceae;Trema micrantha;NO;11.154;NA;NA;0.114;NA;0.114;NA;1.266
Turdus leucomelas;Cannabaceae;Trema micrantha;YES;11.154;NA;NA;0.114;0.595325545;0.067867112;0.008147348;0.756989769
NA;NA;NA;ZZ;NA;NA;NA;NA;NA;NA;NA;NA
