species;plant;plant_family;QTY;QTY_SD;energy_fruit;QTY_SE;TE
Baillonius bailloni;Cabralea canjerana;Meliaceae;0.53;NA;10.016055;NA;5.30850915
Baillonius bailloni;Euterpe edulis;Arecaceae;0.234333333;0.229225508;5.178982;0.132343409;1.213608115
Baillonius bailloni;Virola oleifera;Myristicaceae;0.007;NA;11.0401599;NA;0.077281119
Selenidera maculirostris;Cecropia glaziovii;Urticaceae;0.0435;0.050204581;5.0789972;0.0355;0.220936378
Selenidera maculirostris;Euterpe edulis;Arecaceae;0.40175;0.596743963;5.178982;0.210980851;2.080656019
Selenidera maculirostris;Sloanea guianensis;Elaeocarpaceae;0.357;NA;2.751208924;NA;0.982181586
Selenidera maculirostris;Virola bicuhyba;Myristicaceae;0.078;NA;14.722418;NA;1.148348604
Selenidera maculirostris;Virola oleifera;Myristicaceae;0.004;NA;11.0401599;NA;0.04416064
