frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Trogon viridis;Cecropia glaziovii;4;140;0.029;NA;0.14;0.004;Trogonidae;89.7;20.5;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Trogon viridis;Cecropia glaziovii;1;48.2;0.021;1;0.14;0.003;Trogonidae;89.7;20.5;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Trogon viridis;Cecropia glaziovii;3;750;0.004;NA;0.14;0.001;Trogonidae;89.7;20.5;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Turdus rufiventris;Cecropia glaziovii;2;140;0.014;NA;0.09;0.001;Turdidae;69.5;13.3;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Tangara cayana;Cecropia pachystachya;1;17;0.059;4;0.19;0.011;Thraupidae;18;7.4;Urticaceae;13.65;159.32;10.4;NA;NA;0.8;NA;4137;0.63;0.039;0.117;NA;NA;NA;0.776;NA
Thraupis palmarum;Cecropia pachystachya;21;32;0.656;2;0.01;0.007;Thraupidae;39;8.3;Urticaceae;13.65;159.32;10.4;NA;NA;0.8;NA;4137;0.63;0.039;0.117;NA;NA;NA;0.776;NA
Thraupis palmarum;Cecropia pachystachya;1;17;0.059;1;0.05;0.003;Thraupidae;39;8.3;Urticaceae;13.65;159.32;10.4;NA;NA;0.8;NA;4137;0.63;0.039;0.117;NA;NA;NA;0.776;NA
Thraupis sayaca;Cecropia pachystachya;4;17;0.235;3;0.04;0.009;Thraupidae;32.5;8.9;Urticaceae;13.65;159.32;10.4;NA;NA;0.8;NA;4137;0.63;0.039;0.117;NA;NA;NA;0.776;NA
Thraupis sayaca;Cecropia pachystachya;17;32;0.531;2;0.01;0.005;Thraupidae;32.5;8.9;Urticaceae;13.65;159.32;10.4;NA;NA;0.8;NA;4137;0.63;0.039;0.117;NA;NA;NA;0.776;NA
Euphonia chlorotica;Chamissoa altissima;4;36;0.111;10;2.5;0.278;Fringillidae;11;6.1;Amaranthaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Chamissoa altissima;2;36;0.056;20;10;0.556;Thraupidae;18;7.4;Amaranthaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Chrysophyllum flexuosum;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Sapotaceae;10;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Cinnamodendron dinisii;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Canellaceae;10.5;14;2.3;NA;0.5;NA;NA;2;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Aburria jacutinga;Cinnamodendron dinisii;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Canellaceae;10.5;14;2.3;NA;0.5;NA;NA;2;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Turdus rufiventris;Cissus selloana;1;5.5;0.182;NA;NA;NA;Turdidae;69.5;13.3;Vitaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Citharexylum myrianthum;3;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Euphonia violacea;Citharexylum myrianthum;1;15;0.2;NA;1;0.2;Fringillidae;15;6.9;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Thraupis sayaca;Citharexylum myrianthum;3;15;1;NA;1.5;1.5;Thraupidae;32.5;8.9;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Thraupis sayaca;Citharexylum myrianthum;11;18;0.611;NA;1.04;0.633;Thraupidae;32.5;8.9;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Thraupis sayaca;Citharexylum myrianthum;14;42;0.333;8;0.57;0.19;Thraupidae;32.5;8.9;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Turdus albicollis;Citharexylum myrianthum;9;18;0.5;NA;1;0.5;Turdidae;54;11.1;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Turdus rufiventris;Citharexylum myrianthum;29;30;0.967;29;1;0.967;Turdidae;69.5;13.3;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Turdus rufiventris;Citharexylum myrianthum;1;15;0.067;NA;1;0.067;Turdidae;69.5;13.3;Verbenaceae;10.7;12.3;1.6;0.7;1.05;NA;NA;2;0.81;0.063;0.068;NA;NA;NA;0.827;NA
Tangara cyanocephala;Clusia criuva;4;10.6;0.377;NA;NA;NA;Thraupidae;18;5.2;Clusiaceae;5.48;9.84;0.257;0.33;0.005;0.052;0.149;19.9;NA;0.746;0.056;0.018;0.031;NA;0.092;0.049
Tangara seledon;Clusia criuva;1;17.3;0.058;NA;NA;NA;Thraupidae;18.7;6.1;Clusiaceae;5.48;9.84;0.257;0.33;0.005;0.052;0.149;19.9;NA;0.746;0.056;0.018;0.031;NA;0.092;0.049
Tangara cayana;Copaifera langsdorffii;16;36;0.444;8;0.5;0.222;Thraupidae;18;7.4;Fabaceae;15.36;21.45;0.98;NA;0.705;NA;NA;1;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Tangara cayana;Copaifera langsdorffii;7;40;0.175;8;1.14;0.2;Thraupidae;18;7.4;Fabaceae;15.36;21.45;0.98;NA;0.705;NA;NA;1;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Thraupis sayaca;Copaifera langsdorffii;32;40;0.8;54;1.69;1.35;Thraupidae;32.5;8.9;Fabaceae;15.36;21.45;0.98;NA;0.705;NA;NA;1;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Turdus albicollis;Copaifera langsdorffii;4;36;0.111;1;0.25;0.028;Turdidae;54;11.1;Fabaceae;15.36;21.45;0.98;NA;0.705;NA;NA;1;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Turdus rufiventris;Copaifera langsdorffii;8;40;0.2;16;2;0.4;Turdidae;69.5;13.3;Fabaceae;15.36;21.45;0.98;NA;0.705;NA;NA;1;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Turdus rufiventris;Copaifera langsdorffii;1;41.25;0.024;NA;4;0.097;Turdidae;69.5;13.3;Fabaceae;15.36;21.45;0.98;NA;0.705;NA;NA;1;0.75;0.155;0.093;NA;NA;NA;0.703;NA
Euphonia violacea;Cordia curassavica;138;24.2;5.702;NA;NA;NA;Fringillidae;15;6.9;Boraginaceae;6.58;5.92;0.135;0.16;NA;0.02;0.02;1;0.88;0.184;0.095;0.021;NA;NA;NA;0.021
Thraupis palmarum;Cordia curassavica;1;24.2;0.041;NA;NA;NA;Thraupidae;39;8.3;Boraginaceae;6.58;5.92;0.135;0.16;NA;0.02;0.02;1;0.88;0.184;0.095;0.021;NA;NA;NA;0.021
Thraupis sayaca;Cordia curassavica;1;24.2;0.041;NA;NA;NA;Thraupidae;32.5;8.9;Boraginaceae;6.58;5.92;0.135;0.16;NA;0.02;0.02;1;0.88;0.184;0.095;0.021;NA;NA;NA;0.021
Turdus rufiventris;Cordia ecalyculata;1;2.2;0.455;NA;NA;NA;Turdidae;69.5;13.3;Boraginaceae;11.05;11.55;3;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Cordia silvestris;3;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Boraginaceae;9.1;11;0.6;NA;0.1;NA;NA;1;0.81;0.016;0.078;NA;NA;NA;0.839;NA
Euphonia pectoralis;Coussapoa microcarpa;9;43;0.209;NA;NA;NA;Fringillidae;14.4;7.7;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Ramphastos dicolorus;Coussapoa microcarpa;5;177.8;0.028;NA;NA;NA;Ramphastidae;331;30.7;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Thraupis palmarum;Coussapoa microcarpa;9;43;0.209;NA;NA;NA;Thraupidae;39;8.3;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Thraupis sayaca;Coussapoa microcarpa;9;43;0.209;NA;NA;NA;Thraupidae;32.5;8.9;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Trogon surrucura;Coussapoa microcarpa;2;43;0.047;NA;NA;NA;Trogonidae;73.3;17.5;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Turdus albicollis;Coussapoa microcarpa;2;43;0.047;NA;NA;NA;Turdidae;54;11.1;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Turdus rufiventris;Coussapoa microcarpa;11;177.8;0.062;NA;NA;NA;Turdidae;69.5;13.3;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
Turdus rufiventris;Coussapoa microcarpa;16;43;0.372;NA;NA;NA;Turdidae;69.5;13.3;Urticaceae;12.11;9.96;0.359;0.458;0.002;0.134;NA;37.3;NA;0.023;0.124;0.005;0.069;NA;NA;0.075
