species;plant;plant_family;QTY;QTY_SD;QTY_SE;energy_fruit;digest;QLY_digest;QLY_SE;TE;digest_data;digestibility_data
Ramphastos dicolorus;Cecropia glaziovii;Urticaceae;0.022175;0.030865211;0.021825;5.0789972;NA;5.0789972;NA;0.112626763;NO;0
Ramphastos dicolorus;Cecropia glaziovii digest;Urticaceae;0.022175;0.030865211;0.021825;5.0789972;0.182531488;0.927076915;0.287390822;0.020557931;YES;1
Ramphastos dicolorus;Euterpe edulis;Arecaceae;0.0425;0.028218535;0.009976759;5.178982;NA;5.178982;NA;0.220106735;NO;0
Ramphastos dicolorus;Euterpe edulis digest;Arecaceae;0.0425;0.028218535;0.009976759;5.178982;0.313260515;1.622370568;0.433765602;0.068950749;YES;1
Thraupis sayaca;Trema micrantha;Cannabaceae;2.724666667;3.926053022;2.266707769;0.1135254;NA;0.1135254;NA;0.309318873;NO;0
Thraupis sayaca;Trema micrantha digest;Cannabaceae;2.724666667;3.926053022;2.266707769;0.1135254;0.703476483;0.079862449;0.00812554;0.217598553;YES;1
Turdus rufiventris;Trema micrantha;Cannabaceae;11.154;NA;NA;0.114;NA;0.114;NA;1.266;NO;0
Turdus rufiventris;Trema micrantha digest;Cannabaceae;11.154;NA;NA;0.114;0.595325545;0.067867112;0.008147348;0.756989769;YES;1
