plant_family;plant;frug_family;frug;QTY;energy_fruit;TE;TE_plant
Melastomataceae;Miconia cinnamomifolia;Ramphastidae;Baillonius bailloni;NA;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Fringillidae;Euphonia violacea;0.147;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Cracidae;Penelope obscura;NA;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Ramphastidae;Ramphastos dicolorus;0.456;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Ramphastidae;Selenidera maculirostris;NA;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Thraupidae;Tangara cyanocephala;4.098;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Thraupidae;Tangara seledon;0.684;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Thraupidae;Thraupis palmarum;0.148;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Thraupidae;Thraupis sayaca;0.05;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Thraupidae;Thraupis sayaca;0.074;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Turdidae;Turdus albicollis;0.201;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Turdidae;Turdus albicollis;0.959;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Turdidae;Turdus rufiventris;0.04;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Turdidae;Turdus rufiventris;0.113;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Turdidae;Turdus rufiventris;0.941;NA;NA;NA
Melastomataceae;Miconia cuspidata;Thraupidae;Thraupis sayaca;0.941;NA;NA;NA
Melastomataceae;Miconia ligustroides;Thraupidae;Tangara cayana;17.778;NA;NA;NA
Melastomataceae;Miconia ligustroides;Thraupidae;Thraupis sayaca;6.818;NA;NA;NA
Melastomataceae;Miconia minutiflora;Thraupidae;Tangara cayana;0.197;NA;NA;NA
Melastomataceae;Miconia minutiflora;Thraupidae;Thraupis palmarum;0.463;NA;NA;NA
Melastomataceae;Miconia minutiflora;Thraupidae;Thraupis sayaca;0.041;NA;NA;NA
Melastomataceae;Miconia minutiflora;Turdidae;Turdus rufiventris;0.079;NA;NA;NA
Melastomataceae;Miconia pepericarpa;Turdidae;Turdus rufiventris;0.625;NA;NA;NA
Melastomataceae;Miconia sellowiana;Thraupidae;Thraupis sayaca;0.296;NA;NA;NA
Melastomataceae;Miconia sellowiana;Turdidae;Turdus albicollis;0.118;NA;NA;NA
Melastomataceae;Miconia sellowiana;Turdidae;Turdus albicollis;1.355;NA;NA;NA
Melastomataceae;Miconia sellowiana;Turdidae;Turdus albicollis;1.413;NA;NA;NA
Melastomataceae;Miconia sellowiana;Turdidae;Turdus rufiventris;0.118;NA;NA;NA
Melastomataceae;Miconia sellowiana;Turdidae;Turdus rufiventris;1.355;NA;NA;NA
Melastomataceae;Miconia sellowiana;Turdidae;Turdus rufiventris;2.119;NA;NA;NA
Melastomataceae;Miconia tristis;Turdidae;Turdus albicollis;0.588;NA;NA;NA
Melastomataceae;Miconia tristis;Turdidae;Turdus rufiventris;0.47;NA;NA;NA
Melastomataceae;Miconia urophylla;Thraupidae;Tangara cayana;7.519;NA;NA;NA
Melastomataceae;Miconia urophylla;Thraupidae;Thraupis sayaca;3.474;NA;NA;NA
Melastomataceae;Miconia urophylla;Turdidae;Turdus rufiventris;2.262;NA;NA;NA
Myrtaceae;Myrceugenia myrcioides;Turdidae;Turdus rufiventris;0.083;NA;NA;NA
Myrtaceae;Myrcia fallax;Thraupidae;Tangara cyanocephala;NA;NA;NA;NA
Myrtaceae;Myrcia fallax;Thraupidae;Thraupis palmarum;0.067;NA;NA;NA
Myrtaceae;Myrcia fallax;Thraupidae;Thraupis palmarum;0.348;NA;NA;NA
Myrtaceae;Myrcia fallax;Thraupidae;Thraupis sayaca;0.13;NA;NA;NA
Myrtaceae;Myrcia fallax;Turdidae;Turdus albicollis;NA;NA;NA;NA
Myrtaceae;Myrcia fallax;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Myrtaceae;Myrcia pubipetala;Cracidae;Penelope obscura;NA;21.85;NA;NA
Myrtaceae;Myrcia tomentosa;Thraupidae;Tangara cayana;NA;NA;NA;NA
Myrtaceae;Myrcia tomentosa;Thraupidae;Thraupis sayaca;17.5;NA;NA;NA
Myrtaceae;Myrciaria trunciflora;Thraupidae;Thraupis sayaca;1.567;NA;NA;NA
Myrtaceae;Myrciaria trunciflora;Turdidae;Turdus albicollis;0.05;NA;NA;NA
Myrtaceae;Myrciaria trunciflora;Turdidae;Turdus rufiventris;0.017;NA;NA;NA
Primulaceae;Myrsine umbellata;Fringillidae;Euphonia pectoralis;NA;0.03;NA;0.122133717
Primulaceae;Myrsine umbellata;Fringillidae;Euphonia violacea;NA;0.03;NA;0.122133717
Lauraceae;Nectandra lanceolata;Cracidae;Penelope obscura;NA;NA;NA;NA
Lauraceae;Nectandra lanceolata;Turdidae;Turdus albicollis;0.023;NA;NA;NA
Lauraceae;Nectandra lanceolata;Turdidae;Turdus rufiventris;0.034;NA;NA;NA
Lauraceae;Nectandra megapotamica;Cracidae;Aburria jacutinga;NA;1.93;NA;6.13025447
Lauraceae;Nectandra megapotamica;Cracidae;Penelope obscura;NA;1.93;NA;6.13025447
Sapindaceae;Paullinia carpopoda;Ramphastidae;Ramphastos vitellinus;0.75;NA;NA;NA
Sapindaceae;Paullinia carpopoda;Turdidae;Turdus albicollis;0.125;NA;NA;NA
Sapindaceae;Paullinia carpopoda;Turdidae;Turdus rufiventris;2.438;NA;NA;NA
Sapindaceae;Paullinia micrantha;Thraupidae;Tangara cayana;NA;NA;NA;NA
Sapindaceae;Paullinia micrantha;Thraupidae;Thraupis palmarum;0.005;NA;NA;NA
Sapindaceae;Paullinia micrantha;Thraupidae;Thraupis sayaca;0.02;NA;NA;NA
Peraceae;Pera glabrata;Thraupidae;Tangara cayana;NA;NA;NA;NA
Peraceae;Pera glabrata;Thraupidae;Tangara seledon;NA;NA;NA;NA
Peraceae;Pera glabrata;Thraupidae;Thraupis palmarum;NA;NA;NA;NA
Phytolaccaceae;Phytolacca dioica;Cracidae;Aburria jacutinga;NA;2.78;NA;NA
Piperaceae;Piper tectoniifolium;Fringillidae;Euphonia violacea;0.006;NA;NA;NA
Piperaceae;Piper tectoniifolium;Thraupidae;Thraupis palmarum;0.213;NA;NA;NA
Piperaceae;Piper tectoniifolium;Thraupidae;Thraupis sayaca;0.15;NA;NA;NA
Piperaceae;Piper tectoniifolium;Turdidae;Turdus rufiventris;0.422;NA;NA;NA
Myrtaceae;Plinia cauliflora;Thraupidae;Thraupis sayaca;3.967;NA;NA;NA
Rosaceae;Prunus myrtifolia;Turdidae;Turdus rufiventris;42;NA;NA;NA
Myrtaceae;Psidium guajava;Fringillidae;Euphonia chlorotica;NA;676.82;NA;NA
Myrtaceae;Psidium guajava;Thraupidae;Thraupis palmarum;NA;676.82;NA;NA
Myrtaceae;Psidium guajava;Thraupidae;Thraupis sayaca;NA;676.82;NA;NA
Quiinaceae;Quiina glazovii;Cracidae;Aburria jacutinga;NA;3.41;NA;NA
Quiinaceae;Quiina glazovii;Cracidae;Penelope obscura;NA;3.41;NA;NA
Phyllanthaceae;Richeria grandis;Thraupidae;Thraupis sayaca;5.28;NA;NA;NA
Anacardiaceae;Schinus terebinthifolius;Fringillidae;Euphonia violacea;NA;0.02;NA;0.087649983
Fabaceae;Senna macranthera;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Elaeocarpaceae;Sloanea monosperma;Turdidae;Turdus albicollis;NA;NA;NA;NA
Elaeocarpaceae;Sloanea monosperma;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Solanaceae;Solanum erianthum;Thraupidae;Thraupis sayaca;1.333;NA;NA;NA
Solanaceae;Solanum granulosoleprosum;Thraupidae;Thraupis sayaca;0.217;NA;NA;NA
Solanaceae;Solanum myrianthum;Thraupidae;Thraupis sayaca;0.5;NA;NA;NA
Solanaceae;Solanum viscosissimum;Turdidae;Turdus rufiventris;0.625;NA;NA;NA
Moraceae;Sorocea ilicifolia;Fringillidae;Euphonia violacea;NA;4.48;NA;1.793185487
Moraceae;Sorocea ilicifolia;Thraupidae;Thraupis sayaca;NA;4.48;NA;1.793185487
Loranthaceae;Struthanthus vulgaris;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Styracaceae;Styrax leprosus;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Styracaceae;Styrax leprosus;Turdidae;Turdus albicollis;NA;NA;NA;NA
Symplocaceae;Symplocos uniflora;Cracidae;Penelope obscura;NA;NA;NA;NA
Symplocaceae;Symplocos uniflora;Turdidae;Turdus albicollis;0.042;NA;NA;NA
Symplocaceae;Symplocos uniflora;Turdidae;Turdus rufiventris;0.458;NA;NA;NA
Myrtaceae;Syzygium cumini;Thraupidae;Thraupis sayaca;0.9;NA;NA;NA
Myrtaceae;Syzygium cumini;Thraupidae;Thraupis sayaca;1.4;NA;NA;NA
Meliaceae;Trichilia catigua;Fringillidae;Euphonia chlorotica;0.033;NA;NA;NA
Meliaceae;Trichilia catigua;Thraupidae;Tangara cayana;0.033;NA;NA;NA
Meliaceae;Trichilia catigua;Cotingidae;Tityra cayana;0.044;NA;NA;NA
Meliaceae;Trichilia catigua;Turdidae;Turdus rufiventris;0.12;NA;NA;NA
Meliaceae;Trichilia claussenii;Thraupidae;Tangara cayana;0.055;NA;NA;NA
Meliaceae;Trichilia claussenii;Thraupidae;Tangara cayana;0.1;NA;NA;NA
Meliaceae;Trichilia claussenii;Thraupidae;Thraupis sayaca;0.233;NA;NA;NA
Meliaceae;Trichilia claussenii;Thraupidae;Thraupis sayaca;0.972;NA;NA;NA
Meliaceae;Trichilia claussenii;Trogonidae;Trogon surrucura;0.022;NA;NA;NA
Boraginaceae;Varronia curassavica;Fringillidae;Euphonia violacea;NA;0.16;NA;NA
Boraginaceae;Varronia curassavica;Thraupidae;Thraupis palmarum;NA;0.16;NA;NA
Boraginaceae;Varronia curassavica;Thraupidae;Thraupis sayaca;NA;0.16;NA;NA
Myristicaceae;Virola gardneri;Cracidae;Aburria jacutinga;NA;NA;NA;NA
Myristicaceae;Virola oleifera;Cracidae;Aburria jacutinga;NA;11.04;NA;0.093638315
Myristicaceae;Virola oleifera;Cotingidae;Tityra cayana;NA;11.04;NA;0.093638315
Lamiaceae;Vitex polygama;Thraupidae;Thraupis sayaca;NA;0.66;NA;6.7055616
Annonaceae;Xylopia sericea;Thraupidae;Thraupis palmarum;0.067;NA;NA;NA
Annonaceae;Xylopia sericea;Thraupidae;Thraupis sayaca;0.067;NA;NA;NA
Moraceae;Ficus insipida;Thraupidae;Thraupis sayaca;15;8.59;128.899056;128.899056
Meliaceae;Cabralea canjerana;Cotingidae;Tityra cayana;8.821;10.02;88.35162116;15.37420079
Myrtaceae;Eugenia uniflora;Thraupidae;Thraupis sayaca;6.5;6.49;42.1838664;11.74658434
Meliaceae;Cabralea canjerana;Ramphastidae;Ramphastos vitellinus;3.12;10.02;31.2500916;15.37420079
Lauraceae;Cinnamomum triplinerve;Turdidae;Turdus rufiventris;12;2.50;30.0423864;30.0423864
Anacardiaceae;Tapirira guianensis;Thraupidae;Thraupis sayaca;3.179;9.44;30.00847632;10.1853243
Sapindaceae;Cupania oblongifolia;Turdidae;Turdus rufiventris;8.357;3.59;29.97805657;6.383618333
Meliaceae;Cabralea canjerana;Ramphastidae;Ramphastos dicolorus;1.994;10.02;19.97201367;15.37420079
Anacardiaceae;Tapirira guianensis;Thraupidae;Tangara cayana;2.054;9.44;19.38893059;10.1853243
Burseraceae;Protium heptaphyllum;Thraupidae;Thraupis palmarum;4.04;4.20;16.98148714;4.905616288
Lauraceae;Nectandra megapotamica;Turdidae;Turdus albicollis;8.331;1.93;16.0462336;6.13025447
Anacardiaceae;Tapirira guianensis;Thraupidae;Thraupis palmarum;1.679;9.44;15.84908202;10.1853243
Magnoliaceae;Magnolia ovata;Thraupidae;Thraupis sayaca;2.581;5.45;14.06006332;8.908520034
Burseraceae;Protium heptaphyllum;Fringillidae;Euphonia chlorotica;2.969;4.20;12.47971171;4.905616288
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;2.333;5.18;12.08256501;0.825184465
Moraceae;Ficus benjamina;Thraupidae;Thraupis sayaca;8.459;1.19;10.08709189;5.741140075
Myrtaceae;Eugenia uniflora;Thraupidae;Thraupis sayaca;1.517;6.49;9.845065435;11.74658434
Melastomataceae;Miconia prasina;Fringillidae;Euphonia violacea;8.4;1.12;9.4484124;3.249204042
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;1.818;5.18;9.415389276;0.825184465
Burseraceae;Protium heptaphyllum;Fringillidae;Euphonia violacea;2.073;4.20;8.713520503;4.905616288
Magnoliaceae;Magnolia ovata;Turdidae;Turdus rufiventris;1.488;5.45;8.105917944;8.908520034
Lauraceae;Nectandra megapotamica;Turdidae;Turdus rufiventris;4.2;1.93;8.089566813;6.13025447
Arecaceae;Euterpe edulis;Cracidae;Aburria jacutinga;1.545;5.18;8.00152719;0.825184465
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Thraupis sayaca;15.84;0.50;7.931134094;1.839999744
Meliaceae;Cabralea canjerana;Turdidae;Turdus albicollis;0.726;10.02;7.27165593;15.37420079
Meliaceae;Cabralea canjerana;Turdidae;Turdus rufiventris;0.688;10.02;6.89104584;15.37420079
Burseraceae;Protium heptaphyllum;Thraupidae;Thraupis sayaca;1.619;4.20;6.80520487;4.905616288
Lamiaceae;Vitex polygama;Ramphastidae;Ramphastos dicolorus;10.2;0.66;6.7055616;6.7055616
Myrtaceae;Eugenia uniflora;Thraupidae;Thraupis sayaca;0.9;6.49;5.84084304;11.74658434
Erythroxylaceae;Erythroxylum ambiguum;Turdidae;Turdus albicollis;1.35;4.29;5.78648448;2.288018826
Sapindaceae;Cupania oblongifolia;Turdidae;Turdus rufiventris;1.6;3.59;5.73948672;6.383618333
Santalaceae;Phoradendron affine;Fringillidae;Euphonia chlorotica;36.318;0.15;5.579479863;5.530318743
Santalaceae;Phoradendron affine;Fringillidae;Euphonia chlorotica;35.678;0.15;5.481157623;5.530318743
Meliaceae;Cabralea canjerana;Ramphastidae;Baillonius bailloni;0.525855674;10.02;5.266999358;15.37420079
Myristicaceae;Virola bicuhyba;Trogonidae;Trogon viridis;0.336;14.72;4.946732448;1.306088797
Burseraceae;Protium heptaphyllum;Thraupidae;Thraupis palmarum;1.125;4.20;4.7287557;4.905616288
Magnoliaceae;Magnolia ovata;Thraupidae;Tangara cayana;0.837;5.45;4.559578844;8.908520034
Erythroxylaceae;Erythroxylum ambiguum;Thraupidae;Thraupis sayaca;1.036;4.29;4.440591053;2.288018826
Primulaceae;Myrsine coriacea;Turdidae;Turdus rufiventris;17.668;0.25;4.432993074;0.765009955
Primulaceae;Myrsine coriacea;Turdidae;Turdus rufiventris;17.524;0.25;4.396862725;0.765009955
Euphorbiaceae;Alchornea glandulosa;Turdidae;Turdus rufiventris;8.083;0.50;4.047181622;1.839999744
Anacardiaceae;Tapirira guianensis;Fringillidae;Euphonia chlorotica;0.411;9.44;3.879674038;10.1853243
Meliaceae;Cabralea canjerana;Turdidae;Turdus rufiventris;0.37;10.02;3.70594035;15.37420079
Burseraceae;Protium heptaphyllum;Thraupidae;Thraupis sayaca;0.842;4.20;3.539210933;4.905616288
Burseraceae;Protium heptaphyllum;Cotingidae;Procnias nudicollis;0.825990851;4.20;3.471919063;4.905616288
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Thraupis sayaca;6.408;0.50;3.208504247;1.839999744
Meliaceae;Cabralea canjerana;Turdidae;Turdus albicollis;0.319;10.02;3.195121545;15.37420079
Verbenaceae;Citharexylum myrianthum;Thraupidae;Thraupis sayaca;1.5;2.08;3.12247425;1.206464575
