;submittedname;acceptedname;sourceid;score;matchedname;authority
76;Curatella americana;Curatella americana;iPlant_TNRS;1;Curatella americana;L.
77;Dendropanax cuneatus;Dendropanax cuneatus;iPlant_TNRS;1;Dendropanax cuneatus;(DC.) Decne. & Planch.
78;Diospyros kaki;Diospyros kaki;iPlant_TNRS;1;Diospyros kaki;Thunb.
79;Endlicheria paniculata;Endlicheria paniculata;iPlant_TNRS;1;Endlicheria paniculata;(Spreng.) J.F. Macbr.
80;Eriobotrya japonica;Eriobotrya japonica;iPlant_TNRS;1;Eriobotrya japonica;(Thunb.) Lindl.
81;Erythroxylum deciduum;Erythroxylum deciduum;iPlant_TNRS;1;Erythroxylum deciduum;A. St.-Hil.
82;Erythroxylum pulchrum;Erythroxylum pulchrum;iPlant_TNRS;1;Erythroxylum pulchrum;A. St.-Hil.
83;Eugenia astringens;Eugenia astringens;iPlant_TNRS;1;Eugenia astringens;Cambess.
84;Eugenia brasiliensis;Eugenia brasiliensis;iPlant_TNRS;1;Eugenia brasiliensis;Lam.
85;Eugenia cerasiflora;Eugenia cerasiflora;iPlant_TNRS;1;Eugenia cerasiflora;Miq.
86;Eugenia handroi;Eugenia handroi;iPlant_TNRS;1;Eugenia handroi;(Mattos) Mattos
87;Eugenia hiemalis;Eugenia hiemalis;iPlant_TNRS;1;Eugenia hiemalis;Cambess.
88;Eugenia involucrata;Eugenia involucrata;iPlant_TNRS;1;Eugenia involucrata;DC.
89;Eugenia umbelliflora;Eugenia umbelliflora;iPlant_TNRS;1;Eugenia umbelliflora;O. Berg
90;Eugenia uniflora;Eugenia uniflora;iPlant_TNRS;1;Eugenia uniflora;L.
91;Eugenia uruguayensis;Eugenia uruguayensis;iPlant_TNRS;1;Eugenia uruguayensis;Cambess.
92;Euterpe oleracea;Euterpe oleracea;iPlant_TNRS;1;Euterpe oleracea;Mart.
93;Ficus benjamina;Ficus benjamina;iPlant_TNRS;1;Ficus benjamina;L.
94;Ficus citrifolia;Ficus citrifolia;iPlant_TNRS;1;Ficus citrifolia;Mill.
95;Ficus eximia;Ficus eximia;iPlant_TNRS;1;Ficus eximia;Schott
96;Ficus hirsuta;Ficus hirsuta;iPlant_TNRS;1;Ficus hirsuta;Schott
97;Ficus luschnathiana;Ficus luschnathiana;iPlant_TNRS;1;Ficus luschnathiana;(Miq.) Miq.
98;Ficus luschthia;Ficus;iPlant_TNRS;0.5;Ficus;L.
99;Ficus microcarpa;Ficus microcarpa;iPlant_TNRS;1;Ficus microcarpa;L. f.
100;Ficus organensis;Ficus organensis;iPlant_TNRS;1;Ficus organensis;Miq.
101;Ficus pertusa;Ficus pertusa;iPlant_TNRS;1;Ficus pertusa;L. f.
102;Ficus trigona;Ficus trigona;iPlant_TNRS;1;Ficus trigona;L. f.
103;Frangula purshiana;Frangula purshiana;iPlant_TNRS;1;Frangula purshiana;(DC.) A. Gray
104;Geonoma gamiova;Geonoma gamiova;iPlant_TNRS;1;Geonoma gamiova;Barb. Rodr.
105;Guapira opposita;Guapira opposita;iPlant_TNRS;1;Guapira opposita;(Vell.) Reitz
106;Guarea macrophylla;Guarea macrophylla;iPlant_TNRS;1;Guarea macrophylla;Vahl
107;Guatteria australis;Guatteria australis;iPlant_TNRS;1;Guatteria australis;A. St.-Hil.
108;Guatteria sellowiana;Guatteria sellowiana;iPlant_TNRS;1;Guatteria sellowiana;Schltdl.
109;Guettarda viburnoides;Guettarda viburnoides;iPlant_TNRS;1;Guettarda viburnoides;Cham. & Schltdl.
110;Hedera nepalensis;Hedera nepalensis;iPlant_TNRS;1;Hedera nepalensis;K. Koch
111;Henriettea saldanhaei;Henriettea saldanhaei;iPlant_TNRS;1;Henriettea saldanhaei;Cogn.
112;Hovenia dulcis;Hovenia dulcis;iPlant_TNRS;1;Hovenia dulcis;Thunb.
113;Ilex brevicuspis;Ilex brevicuspis;iPlant_TNRS;1;Ilex brevicuspis;Reissek
114;Ilex paraguariensis;Ilex paraguariensis;iPlant_TNRS;1;Ilex paraguariensis;A. St.-Hil.
115;Ilex pseudobuxus;Ilex pseudobuxus;iPlant_TNRS;1;Ilex pseudobuxus;Reissek
116;Ilex theezans;Ilex theizans;iPlant_TNRS;0.98;Ilex theizans;Mart. ex Reissek
117;Inga edulis;;iPlant_TNRS;1;Inga edulis;
118;Inga marginata;Inga marginata;iPlant_TNRS;1;Inga marginata;Willd.
119;Ixora burchelliana;Ixora burchelliana;iPlant_TNRS;1;Ixora burchelliana;MÌ_ll. Arg.
120;Ixora gardneriana;Ixora gardneriana;iPlant_TNRS;1;Ixora gardneriana;Benth.
121;Lantana camara;Lantana camara;iPlant_TNRS;1;Lantana camara;L.
122;Lantana pohliana;Lantana pohliana;iPlant_TNRS;1;Lantana pohliana;Schauer
123;Leandra acutiflora;Leandra acutiflora;iPlant_TNRS;1;Leandra acutiflora;(Naudin) Cogn.
124;Leandra carassana;Leandra carassana;iPlant_TNRS;1;Leandra carassana;(DC.) Cogn.
125;Leandra laevigata;Leandra laevigata;iPlant_TNRS;1;Leandra laevigata;Cogn.
126;Leandra melastomoides;Leandra melastomoides;iPlant_TNRS;1;Leandra melastomoides;Raddi
127;Leandra variabilis;Leandra variabilis;iPlant_TNRS;1;Leandra variabilis;Raddi
128;Ligustrum japonicum;Ligustrum japonicum;iPlant_TNRS;1;Ligustrum japonicum;Thunb.
129;Ligustrum lucidum;Ligustrum lucidum;iPlant_TNRS;1;Ligustrum lucidum;W.T. Aiton
130;Lithrea molleoides;;iPlant_TNRS;1;Lithrea molleoides;
131;Livistona chinensis;Livistona chinensis;iPlant_TNRS;1;Livistona chinensis;(Jacq.) R. Br. ex Mart.
132;Maclura tinctoria;Maclura tinctoria;iPlant_TNRS;1;Maclura tinctoria;(L.) D. Don ex Steud.
133;Magnolia champaca;Magnolia champaca;iPlant_TNRS;1;Magnolia champaca;(L.) Baill. ex Pierre
134;Magnolia ovata;Magnolia ovata;iPlant_TNRS;1;Magnolia ovata;(A. St.-Hil.) Spreng.
135;Mangifera indica;Mangifera indica;iPlant_TNRS;1;Mangifera indica;L.
136;Margaritaria nobilis;Margaritaria nobilis;iPlant_TNRS;1;Margaritaria nobilis;L. f.
137;Margaritopsis astrellantha;Margaritopsis astrellantha;iPlant_TNRS;1;Margaritopsis astrellantha;(Wernham) L. Andersson
138;Marlierea obscura;Marlierea obscura;iPlant_TNRS;1;Marlierea obscura;O. Berg
139;Marlierea reitzii;Marlierea reitzii;iPlant_TNRS;1;Marlierea reitzii;D. Legrand
140;Matayba elaeagnoides;Matayba elaeagnoides;iPlant_TNRS;1;Matayba elaeagnoides;Radlk.
141;Matayba guianensis;Matayba guianensis;iPlant_TNRS;1;Matayba guianensis;Aubl.
142;Maytenus aquifolia;Maytenus pilcomayensis;iPlant_TNRS;0.96;Maytenus aquifolium;Briq.
143;Maytenus brasiliensis;Maytenus brasiliensis;iPlant_TNRS;1;Maytenus brasiliensis;Mart.
144;Maytenus gonoclada;Maytenus gonoclada;iPlant_TNRS;1;Maytenus gonoclada;Mart.
145;Maytenus littoralis;Maytenus;iPlant_TNRS;0.5;Maytenus;Molina
146;Melia azedarach;Melia azedarach;iPlant_TNRS;1;Melia azedarach;L.
147;Meliosma sellowii;Meliosma sellowii;iPlant_TNRS;1;Meliosma sellowii;Urb.
148;Miconia albicans;Miconia albicans;iPlant_TNRS;1;Miconia albicans;(Sw.) Steud.
149;Miconia budlejoides;Miconia buddlejoides;iPlant_TNRS;0.99;Miconia buddlejoides;Triana
150;Miconia budlejoides;Miconia buddlejoides;iPlant_TNRS;0.99;Miconia buddlejoides;Triana
151;Miconia cabucu;Miconia cabucu;iPlant_TNRS;1;Miconia cabucu;Hoehne
152;Miconia chartacea;Miconia chartacea;iPlant_TNRS;1;Miconia chartacea;Triana
153;Miconia cinerascens;Miconia cinerascens;iPlant_TNRS;1;Miconia cinerascens;Miq.
154;Miconia cinnamomifolia;Miconia cinnamomifolia;iPlant_TNRS;1;Miconia cinnamomifolia;(DC.) Naudin
155;Miconia cuspidata;Miconia cuspidata;iPlant_TNRS;1;Miconia cuspidata;Mart. ex Naudin
156;Miconia elegans;Miconia elegans;iPlant_TNRS;1;Miconia elegans;Cogn.
157;Miconia ligustroides;Miconia ligustroides;iPlant_TNRS;1;Miconia ligustroides;(DC.) Naudin
158;Miconia minutiflora;Miconia minutiflora;iPlant_TNRS;1;Miconia minutiflora;(Bonpl.) DC.
159;Miconia pepericarpa;Miconia pepericarpa;iPlant_TNRS;1;Miconia pepericarpa;DC.
160;Miconia prasina;Miconia prasina;iPlant_TNRS;1;Miconia prasina;(Sw.) DC.
161;Miconia pusilliflora;Miconia pusilliflora;iPlant_TNRS;1;Miconia pusilliflora;(DC.) Naudin
162;Miconia theizans;;iPlant_TNRS;1;Miconia theizans;
163;Miconia urophylla;Miconia urophylla;iPlant_TNRS;1;Miconia urophylla;DC.
164;Mollinedia schottiana;Mollinedia schottiana;iPlant_TNRS;1;Mollinedia schottiana;(Spreng.) Perkins
165;Mollinedia uleana;Mollinedia uleana;iPlant_TNRS;1;Mollinedia uleana;Perkins
166;Morus nigra;Morus nigra;iPlant_TNRS;1;Morus nigra;L.
167;Muntingia calabura;Muntingia calabura;iPlant_TNRS;1;Muntingia calabura;L.
168;Murraya paniculata;Murraya paniculata;iPlant_TNRS;1;Murraya paniculata;(L.) Jack
169;Musa paradisiaca;Musa paradisiaca;iPlant_TNRS;1;Musa paradisiaca;L.
170;Myrcia anacardiifolia;Myrcia anacardiifolia;iPlant_TNRS;1;Myrcia anacardiifolia;Gardner
171;Myrcia brasiliensis;Myrcia brasiliensis;iPlant_TNRS;1;Myrcia brasiliensis;Kiaersk.
172;Myrcia ferruginea;Marlierea ferruginea;iPlant_TNRS;1;Myrcia ferruginea;(Poir.) McVaugh
173;Myrcia hebepetala;Myrcia hebepetala;iPlant_TNRS;1;Myrcia hebepetala;DC.
174;Myrcia ilheosensis;Myrcia ilheosensis;iPlant_TNRS;1;Myrcia ilheosensis;Kiaersk.
175;Myrcia oblongata;Myrcia oblongata;iPlant_TNRS;1;Myrcia oblongata;DC.
176;Myrcia palustris;Myrcia palustris;iPlant_TNRS;1;Myrcia palustris;DC.
177;Myrcia pubipetala;Myrcia pubipetala;iPlant_TNRS;1;Myrcia pubipetala;Miq.
178;Myrcia pulchra;Myrcia pulchra;iPlant_TNRS;1;Myrcia pulchra;(O. Berg) Kiaersk.
179;Myrcia spectabilis;Myrcia spectabilis;iPlant_TNRS;1;Myrcia spectabilis;DC.
180;Myrcia splendens;Myrcia splendens;iPlant_TNRS;1;Myrcia splendens;(Sw.) DC.
181;Myrcia tomentosa;Myrcia tomentosa;iPlant_TNRS;1;Myrcia tomentosa;(Aubl.) DC.
182;Myrciaria  glomerata;Myrciaria glomerata;iPlant_TNRS;1;Myrciaria glomerata;O. Berg
183;Myrciaria cuspidata;Myrciaria cuspidata;iPlant_TNRS;1;Myrciaria cuspidata;O. Berg
184;Myrciaria trunciflora;Plinia trunciflora;iPlant_TNRS;1;Myrciaria trunciflora;(O. Berg) Kausel
185;Myriopus paniculatus;;iPlant_TNRS;1;Myriopus paniculatus;
186;Myrsine ferruginea;Myrsine coriacea subsp. coriacea;iPlant_TNRS;1;Myrsine ferruginea;
187;Myrsine umbellata;Myrsine umbellata;iPlant_TNRS;1;Myrsine umbellata;Mart.
188;Myrsine venosa;Myrsine venosa;iPlant_TNRS;1;Myrsine venosa;A. DC.
189;Nectandra cuspidata;Nectandra cuspidata;iPlant_TNRS;1;Nectandra cuspidata;Nees & Mart.
190;Nectandra grandiflora;Nectandra grandiflora;iPlant_TNRS;1;Nectandra grandiflora;Nees & Mart. ex Nees
191;Nectandra lanceolata;Nectandra lanceolata;iPlant_TNRS;1;Nectandra lanceolata;Nees & Mart.
192;Nectandra megapotamica;Nectandra megapotamica;iPlant_TNRS;1;Nectandra megapotamica;(Spreng.) Mez
193;Nectandra membranacea;Nectandra membranacea;iPlant_TNRS;1;Nectandra membranacea;(Sw.) Griseb.
194;Nectandra reticulata;Nectandra reticulata;iPlant_TNRS;1;Nectandra reticulata;(Ruiz & Pav.) Mez
195;Ocotea bicolor;Ocotea bicolor;iPlant_TNRS;1;Ocotea bicolor;Vattimo-Gil
196;Ocotea catharinensis;Ocotea catharinensis;iPlant_TNRS;1;Ocotea catharinensis;Mez
197;Ocotea odorifera;Ocotea odorifera;iPlant_TNRS;1;Ocotea odorifera;Rohwer
198;Ocotea puberula;Ocotea puberula;iPlant_TNRS;1;Ocotea puberula;(Rich.) Nees
199;Ocotea pulchella;Ocotea pulchella;iPlant_TNRS;1;Ocotea pulchella;(Nees & Mart.) Mez
200;Ocotea spixiana;Ocotea spixiana;iPlant_TNRS;1;Ocotea spixiana;(Nees) Mez
201;Ocotea spixiana;Ocotea spixiana;iPlant_TNRS;1;Ocotea spixiana;(Nees) Mez
202;Ocotea teleiandra;Ocotea teleiandra;iPlant_TNRS;1;Ocotea teleiandra;(Meisn.) Mez
203;Ouratea vaccinioides;Ouratea vaccinioides;iPlant_TNRS;1;Ouratea vaccinioides;Engl.
204;Paullinia carpopoda;Paullinia carpopoda;iPlant_TNRS;1;Paullinia carpopoda;Cambess.
205;Paullinia micrantha;Paullinia micrantha;iPlant_TNRS;1;Paullinia micrantha;Cambess.
206;Paullinia uloptera;Paullinia uloptera;iPlant_TNRS;1;Paullinia uloptera;Radlk.
207;Pera glabrata;Pera glabrata;iPlant_TNRS;1;Pera glabrata;(Schott) Poepp. ex Baill.
208;Persea alba;Persea alba;iPlant_TNRS;1;Persea alba;Nees & Mart.
209;Persea willdenovii;Persea willdenovii;iPlant_TNRS;1;Persea willdenovii;Kosterm.
210;Philodendron appendiculatum;Philodendron appendiculatum;iPlant_TNRS;1;Philodendron appendiculatum;Nadruz & Mayo
211;Phoebe pickelli;Cinnamomum triplinerve;iPlant_TNRS;0.98;Phoebe pickellii;(Ruiz & Pav.) Kosterm.
212;Phoenix sylvestris;Phoenix sylvestris;iPlant_TNRS;1;Phoenix sylvestris;(L.) Roxb.
213;Phoradendron crassifolium;Phoradendron crassifolium;iPlant_TNRS;1;Phoradendron crassifolium;(Pohl ex DC.) Eichler
214;Phoradendron piperoides;Phoradendron piperoides;iPlant_TNRS;1;Phoradendron piperoides;(Kunth) Trel.
215;Phoradendron quadrangulare;Phoradendron quadrangulare;iPlant_TNRS;1;Phoradendron quadrangulare;(Kunth) Griseb.
216;Phytolacca dioica;Phytolacca dioica;iPlant_TNRS;1;Phytolacca dioica;L.
217;Piper aduncum;Piper aduncum;iPlant_TNRS;1;Piper aduncum;L.
218;Piper corintoanum;Piper corintoanum;iPlant_TNRS;1;Piper corintoanum;Yunck.
219;Piper tectoniifolium;Piper tectoniifolium;iPlant_TNRS;1;Piper tectoniifolium;Kunth
220;Plinia cauliflora;Plinia cauliflora;iPlant_TNRS;1;Plinia cauliflora;(DC.) Kausel
221;Podocarpus sellowii;Podocarpus sellowii;iPlant_TNRS;1;Podocarpus sellowii;Klotzsch ex Endl.
222;Protium heptaphyllum;Protium heptaphyllum;iPlant_TNRS;1;Protium heptaphyllum;(Aubl.) Marchand
223;Protium spruceanum;Protium spruceanum;iPlant_TNRS;1;Protium spruceanum;(Benth.) Engl.
224;Prunus myrtifolia;Prunus myrtifolia;iPlant_TNRS;1;Prunus myrtifolia;(L.) Urb.
225;Prunus persica;Prunus persica;iPlant_TNRS;1;Prunus persica;(L.) Batsch
226;Psidium cattleianum;Psidium cattleyanum;iPlant_TNRS;0.99;Psidium cattleyanum;Sabine
227;Psidium guajava;Psidium guajava;iPlant_TNRS;1;Psidium guajava;L.
228;Psychotria gracilenta;Psychotria gracilenta;iPlant_TNRS;1;Psychotria gracilenta;MÌ_ll. Arg.
229;Psychotria leiocarpa;Psychotria leiocarpa;iPlant_TNRS;1;Psychotria leiocarpa;Cham. & Schltdl.
230;Psychotria nuda;Psychotria nuda;iPlant_TNRS;1;Psychotria nuda;(Cham. & Schltdl.) Wawra
231;Rhipsalis paradoxa;Rhipsalis paradoxa;iPlant_TNRS;1;Rhipsalis paradoxa;(Salm-Dyck ex Pfeiff.) Salm-Dyck
232;Rhipsalis teres;Rhipsalis teres;iPlant_TNRS;1;Rhipsalis teres;(Vell.) Steud.
233;Richeria grandis;Richeria grandis;iPlant_TNRS;1;Richeria grandis;Vahl
234;Roystonea oleraceae;Roystonea oleracea;iPlant_TNRS;0.98;Roystonea oleracea;(Jacq.) O.F. Cook
235;Rudgea jasminoides;Rudgea jasminoides;iPlant_TNRS;1;Rudgea jasminoides;(Cham.) MÌ_ll. Arg.
236;Rudgea recurva;Rudgea recurva;iPlant_TNRS;1;Rudgea recurva;MÌ_ll. Arg.
237;Sapium glandulosum;Sapium glandulosum;iPlant_TNRS;1;Sapium glandulosum;(L.) Morong
238;Schefflera actinophylla;Schefflera actinophylla;iPlant_TNRS;1;Schefflera actinophylla;(Endl.) Harms
239;Schefflera angustissima;Schefflera angustissima;iPlant_TNRS;1;Schefflera angustissima;(Marchal) Frodin
240;Schefflera morototoni;Schefflera morototoni;iPlant_TNRS;1;Schefflera morototoni;(Aubl.) Maguire, Steyerm. & Frodin
241;Schinus terebinthifolius;Schinus terebinthifolius;iPlant_TNRS;1;Schinus terebinthifolius;Raddi
242;Scutia buxifolia;Scutia buxifolia;iPlant_TNRS;1;Scutia buxifolia;Reissek
243;Siphoneugena densiflora;Siphoneugena densiflora;iPlant_TNRS;1;Siphoneugena densiflora;O. Berg
244;Sloanea hirsuta;Sloanea hirsuta;iPlant_TNRS;1;Sloanea hirsuta;(Schott) Planch. ex Benth.
245;Solanum bullatum;Solanum bullatum;iPlant_TNRS;1;Solanum bullatum;Vell.
246;Solanum granulosoleprosum;Solanum hazenii;iPlant_TNRS;1;Solanum granuloso-leprosum;Britton
247;Solanum mauritianum;Solanum mauritianum;iPlant_TNRS;1;Solanum mauritianum;Scop.
248;Solanum myrianthum;Solanum acutilobum;iPlant_TNRS;1;Solanum myrianthum;Dunal
249;Solanum thomasiifolium;Solanum thomasiifolium;iPlant_TNRS;1;Solanum thomasiifolium;Sendtn.
250;Solanum viscosissimum;Solanum viscosissimum;iPlant_TNRS;1;Solanum viscosissimum;Sendtn.
251;Styrax leprosus;Styrax leprosus;iPlant_TNRS;1;Styrax leprosus;Hook. & Arn.
252;Syagrus romanzoffiana;Syagrus romanzoffiana;iPlant_TNRS;1;Syagrus romanzoffiana;(Cham.) Glassman
253;Symplocos glandulosomarginata;;iPlant_TNRS;1;Symplocos glanduloso-marginata;
254;Symplocos tetrandra;Symplocos tetrandra;iPlant_TNRS;1;Symplocos tetrandra;Mart.
255;Symplocos uniflora;Symplocos uniflora;iPlant_TNRS;1;Symplocos uniflora;(Pohl) Benth.
256;Syzygium cumini;Syzygium cumini;iPlant_TNRS;1;Syzygium cumini;(L.) Skeels
257;Tapirira guianensis;Tapirira guianensis;iPlant_TNRS;1;Tapirira guianensis;Aubl.
258;Tetrorchidium rubrivenium;Tetrorchidium rubrivenium;iPlant_TNRS;1;Tetrorchidium rubrivenium;Poepp.
259;Trema micrantha;Trema micrantha;iPlant_TNRS;1;Trema micrantha;(L.) Blume
260;Trichilia catigua;Trichilia catigua;iPlant_TNRS;1;Trichilia catigua;A. Juss.
261;Trichilia clausseni;Trichilia claussenii;iPlant_TNRS;0.98;Trichilia claussenii;C. DC.
262;Virola oleifera;Bicuiba oleifera;iPlant_TNRS;1;Virola oleifera;(Schott) W.J. de Wilde
263;Virola sebifera;Virola sebifera;iPlant_TNRS;1;Virola sebifera;Aubl.
